net,length_um
clknet_0_clk,109.54µm
net15,84.025µm
net14,80.08µm
net12,75.15µm
net13,70.42µm
net1,66.135µm
net2,63.35µm
_031_,56.875µm
net4,48.26µm
clk,47.31µm
net11,44.01µm
_018_,42.91µm
clknet_2_0__leaf_clk,42.49µm
net10,41.945µm
clknet_2_1__leaf_clk,37.76µm
clknet_2_2__leaf_clk,35.67µm
net5,35.205µm
_017_,34.94µm
_023_,34.15µm
net6,33.75µm
_027_,33.715µm
_016_,32.28µm
clknet_2_3__leaf_clk,31.7µm
_029_,31.6µm
memory\[8\],30.645µm
memory\[4\],29.71µm
_021_,27.73µm
memory\[3\],21.605µm
_040_,21.36µm
memory\[7\],21.265µm
memory\[11\],20.305µm
memory\[9\],20.22µm
_020_,20.03µm
memory\[6\],19.41µm
memory\[15\],19.33µm
_026_,19.25µm
memory\[2\],18.72µm
net44,18.13µm
_005_,17.41µm
memory\[14\],17.29µm
memory\[0\],16.46µm
memory\[10\],15.49µm
_039_,15.19µm
_001_,15.13µm
memory\[13\],14.95µm
net8,14.745µm
col_addr[1],14.72µm
_033_,14.65µm
_009_,13.75µm
memory\[1\],13.51µm
we_n,13.03µm
_036_,12.96µm
_038_,12.96µm
memory\[5\],12.84µm
_000_,12.79µm
_007_,12.79µm
cs,12.66µm
net43,12.43µm
net34,11.95µm
_046_,11.94µm
_037_,11.88µm
net35,11.83µm
net3,11.76µm
net41,11.52µm
_004_,11.47µm
net46,11.47µm
net32,11.05µm
net42,11.05µm
_019_,11.04µm
_003_,10.99µm
_024_,10.99µm
data_out_bar,10.34µm
_012_,10.32µm
_014_,10.32µm
_043_,9.97µm
net21,9.84µm
net33,9.55µm
_022_,9.42µm
data_in,9.3µm
_047_,9.01µm
_008_,8.95µm
net37,8.9µm
net40,8.9µm
_010_,8.88µm
_015_,8.76µm
net45,8.59µm
row_addr[0],8.46µm
memory\[12\],8.425µm
_032_,8.22µm
net31,7.74µm
_028_,7.68µm
_042_,7.68µm
net26,7.68µm
net38,7.68µm
_006_,7.63µm
data_out,7.58µm
net36,7.14µm
col_addr[0],6.78µm
row_addr[1],6.78µm
_030_,6.66µm
net23,6.49µm
net9,6.19µm
net20,6.12µm
net24,5.76µm
_002_,5.64µm
net17,5.64µm
net29,5.64µm
net22,5.28µm
net39,4.92µm
_013_,4.86µm
net18,4.68µm
net19,4.68µm
net25,4.68µm
net27,4.68µm
net28,4.68µm
_011_,4.26µm
_034_,4.09µm
net16,3.84µm
net,3.84µm
net30,3.63µm
_045_,3.61µm
_025_,3µm
_035_,2.7µm
_041_,2.52µm
_044_,2.28µm
net7,1.8µm
